"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Darrel Williams / KC / RB","409","12","FA","7"
"Jeff Wilson Jr. / SF / RB","410","4","Grey Nut Grabbers","7"
"Mike Boone / Min / RB","411","12","FA","6"
"Alexander Mattison / Min / RB","412","12","FA","6"
"Ty Johnson / Det / RB","413","5","FA","5"
"Foster Moreau / Oak / TE","414","6","FA","4"
"Doug Martin / Oak / RB","415","6","ChildPlease","4"
"Eric Saubert / NE / TE","416","10","FA","3"
"Jordan Taylor / Min / WR","417","12","FA","2"
"Dontrelle Inman / NE / WR","418","10","FA","2"
"Zach Gentry / Pit / TE","419","7","FA","1"
"Spencer Ware / Ind / RB","420","6","C$","1"
"Ameer Abdullah / Min / RB","421","12","FA","1"
"T.J. Logan / Ari / RB","423","12","FA","1"
"Brian Parker / Den / TE","425","10","FA","0"
"Logan Paulsen / Atl / TE","427","9","FA","0"
"Thomas Rawls / Jax / RB","428","10","FA","0"
"Rod Smith / NYG / RB","429","11","FA","0"
"Marshawn Lynch / Oak / RB","431","6","FA","0"
"Drew Stanton / Cle / QB","432","7","FA","0"
"Taylor Heinicke / Car / QB","434","7","FA","0"
"Corey Grant / GB / RB","435","11","FA","0"
"Akeem Hunt / Ten / RB","436","11","FA","0"
"Blaine Gabbert / TB / QB","437","7","FA","0"
"Lance Kendricks / NE / TE","438","10","FA","0"
"Wes Saxton / Sea / TE","439","11","FA","0"
"Stevan Ridley / Pit / RB","440","7","FA","0"
"Gabe Holmes / Ind / TE","441","6","FA","0"
"Matt Lengel / Cin / TE","442","9","FA","0"
"Clark Harris / Cin / TE","443","9","FA","0"
"Luke Stocker / Atl / TE","444","9","FA","0"
"Taiwan Jones / Hou / RB","445","10","FA","0"
"Anthony Sherman / KC / RB","446","12","FA","0"
"Jacquizz Rodgers / NO / RB","448","9","FA","0"
"Niles Paul / SF / TE","449","4","FA","0"
"Lee Smith / Buf / TE","450","6","FA","0"
"Will Tye / Phi / TE","451","10","FA","0"
"Tyrod Taylor / LAC / QB","454","12","FA","0"
"Mack Brown / Oak / RB","455","6","FA","0"
"Manasseh Garner / KC / TE","456","12","FA","0"
"Daniel Brown / NYJ / TE","457","4","FA","0"
"Ross Travis / Ind / TE","459","6","FA","0"
"Patrick DiMarco / Buf / RB","461","6","FA","0"
"Paxton Lynch / Sea / QB","462","11","FA","0"
"Jonathan Stewart / Car / RB","463","7","FA","0"
"Chad Henne / KC / QB","465","12","FA","0"
"C.J. Prosise / Sea / RB","467","11","FA","0"
"Jacoby Brissett / Ind / QB","468","6","FA","0"
"Cody Kessler / Phi / QB","469","10","FA","0"
"Connor Cook / Det / QB","471","5","FA","0"
"Tyler Ervin / Bal / RB","474","8","FA","0"
"Seth DeValve / Cle / TE","475","7","FA","0"
"Cardale Jones / LAC / QB","476","12","FA","0"
"Kyle Nelson / SF / TE","477","4","FA","0"
"Jonathan Williams / Ind / RB","478","6","FA","0"
"Nick Bellore / Sea / RB","479","11","FA","0"
"Kevin Hogan / Den / QB","480","10","FA","0"
"Alex Collins / Bal / RB","482","8","Hoboken SquatCobbler","0"
"Andy Janovich / Den / RB","483","10","FA","0"
"Temarrick Hemingway / Car / TE","485","7","FA","0"
"Moritz Boehringer / Cin / TE","486","9","FA","0"
"Josh Johnson / Det / QB","488","5","FA","0"
"Jerell Adams / Hou / TE","489","10","FA","0"
"Nate Sudfeld / Phi / QB","490","10","FA","0"
